the_geom,cp,nombre,codigoine,jurisdicci,cartodb_id,created_at,updated_at
0101000020E6100000FE1B6C3C833CDBBF1F624A24D1624340,3829,L'Alqueria d'Asnar,3017,3017,37,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000B59E7A388731DCBFA031AD79685E4340,3820,Cocentaina,3056,3056,38,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000005A3A08C22FB7EBBF3CBAF6D990514340,3409,Villena,3140,3140,39,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000C654CF3F47C0A4BFF1BEE35710604340,3728,Alcalalí,3006,3006,40,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FFDF144F1FF0A03F7EA13C3D80654340,3750,Pedreguer,3101,3101,41,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000037391769EE7F62BFE6ED50C443694340,3778,Beniarbeig,3026,3026,42,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000050F0CD028B80E0BFC37E3D57BB634340,3837,Agres,3003,3003,43,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000483D246F23EFD5BF7519BB0C4C644340,3828,Planes,3106,3106,44,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000062CA3989D208DCBF6782D944D0634340,3830,Muro de Alcoy,3092,3092,45,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000C2441BFC8031DABFCF2CCF99FE674340,3840,Gaianes,3072,3072,46,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000008ED4E206F45EC4BF23EC984912674340,3789,La Vall d'Ebo,3135,3135,47,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000D4069EA2AA56A5BFE31C09FA4E694340,3769,Benimeli,3040,3040,48,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
